year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2015,3088.51109,2,1,1,4,6,4,4,3,1,1,4,2,3,5,1,4,2,0,0,2,3
2015,2205.59136,2,3,2,3,8,3,4,0,1,2,2,2,2,0,1,4,2,0,0,2,2
2015,3647.36799,1,1,1,4,6,2,7,5,1,1,4,1,2,0,1,4,2,0,0,2,1
2015,3492.59957,2,1,1,4,3,1,3,1,3,3,3,2,2,0,1,4,2,0,0,2,2
2015,2844.95738,2,1,2,1,5,2,1,1,2,3,2,1,2,0,1,3,1,1,2,2,1
2015,2863.52688,2,1,2,1,6,2,7,0,3,3,5,1,2,0,1,4,2,0,0,2,3
2015,3524.59722,2,1,2,1,5,1,2,1,1,3,3,2,2,0,1,4,2,0,0,2,2
2015,5456.85962,1,1,2,1,6,1,2,1,1,3,3,2,2,0,1,4,2,0,0,2,1
2015,5456.85962,1,1,2,1,6,1,2,1,1,3,3,2,2,0,1,4,2,0,0,2,1
2015,5456.85962,1,1,2,1,6,1,2,1,1,3,3,2,2,0,1,4,2,0,0,2,1
2015,5641.18223,2,1,1,4,3,1,4,1,2,2,4,1,1,1,1,3,1,0,0,2,3
2015,2893.10053,2,1,2,1,6,1,88,0,2,3,1,2,2,0,1,4,2,1,1,2,2
2015,21043.49616,2,2,2,2,6,2,88,1,1,2,4,1,2,0,1,2,1,0,0,2,3
2015,4003.71943,1,1,1,4,5,1,2,5,1,1,4,1,2,0,1,4,2,0,0,2,3
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,3432.85857,2,1,2,1,6,2,5,0,1,3,1,2,2,0,1,4,2,1,1,2,1
2015,229.0186,1,1,2,1,7,4,1,4,4,1,3,2,3,5,1,4,2,0,0,1,3
2015,3726.11778,2,1,2,1,7,3,88,4,3,1,2,1,2,0,1,2,1,1,1,2,1
2015,821.96528,1,1,2,1,7,4,4,1,2,2,4,2,2,0,1,4,2,0,0,2,3
2015,816.42267,1,1,2,1,7,4,7,0,2,2,1,1,2,0,1,4,2,0,0,2,1
2015,8916.69448,1,1,2,1,6,4,2,1,3,2,4,2,2,0,1,2,1,1,1,2,3
2015,4869.0491,1,1,2,1,6,4,4,2,2,1,3,1,2,0,1,4,2,1,2,2,1
2015,267.65539,2,1,2,1,7,2,4,0,3,2,4,2,2,0,1,4,2,0,0,2,5
2015,1511.56,1,1,1,4,8,4,2,3,3,1,4,2,3,5,1,2,1,0,0,2,1
2015,1761.28009,1,1,2,1,8,2,7,4,4,1,3,1,2,0,1,4,2,0,0,2,1
2015,1761.28009,1,1,2,1,8,2,7,4,4,1,6,2,2,0,1,4,2,0,0,2,1
2015,3164.41466,1,1,2,1,5,1,7,4,4,1,6,2,2,0,1,4,2,0,0,2,5
2015,4110.22229,1,1,2,1,4,2,3,3,4,1,3,1,2,0,1,1,1,0,0,2,1
2015,2882.44905,2,1,2,1,7,3,88,0,3,2,4,1,3,5,1,4,2,0,0,2,3
2015,3035.71262,2,1,2,1,7,1,5,1,3,2,4,1,1,4,1,3,1,0,0,2,3
2015,1859.57937,2,1,2,1,5,4,2,2,2,1,4,1,2,0,1,4,2,1,1,2,3
2015,3739.05793,2,2,2,2,5,2,4,0,3,2,4,1,1,1,1,2,1,0,0,2,3
2015,1986.23051,2,1,2,1,4,1,88,2,2,1,1,2,1,2,1,3,1,0,0,2,1
2015,2966.37485,2,1,2,1,8,4,3,1,3,1,1,2,3,5,1,1,1,1,1,2,1
2015,2966.37485,2,1,2,1,8,4,3,1,3,1,1,2,2,0,1,4,2,1,1,2,1
2015,2966.37485,2,1,2,1,8,4,3,1,3,1,1,2,2,0,1,1,1,1,1,2,1
2015,5470.27919,2,1,2,1,3,1,88,0,3,2,3,2,2,0,1,4,2,0,0,2,2
